"code_id","domain","code_name","definition","coding_rule","feedback_configuration","delivery_phase"
"C01","Feedback information","Visible-form comparison","Uses avatar motion to inspect or compare posture, limb path, body angle, racket-side movement, or whole-body form.","Include: The account specifies visible form made comparable by avatar motion. Exclude: General usefulness or muscle-only timing/force comments. Boundary: Pair with C02/C03 when form and activation are interpreted jointly. Note: Describes access to visible information, not learning or motion superiority.","Both AR configurations","Replay"
"C02","Feedback information","Muscle cue for force, relaxation, or timing","Interprets muscle-related display content as information about activation magnitude, release, timing, muscle location, or grip/impact force.","Include: Force, relaxation, activation site, or timing is linked to the muscle display. Exclude: General liking or outcome change without a muscle-information role. Boundary: C03 captures joint interpretation with motion; C06 captures temporal representation. Note: Codes perceived use, not physiological correctness or an isolated EMG effect.","Motion+Muscle","Both"
"C03","Feedback information","Bundled muscle information as a complement to motion","Describes the muscle layer as adding detail to or being interpreted jointly with the motion reference.","Include: Muscle information fills a perceived gap in motion or acts as supporting information. Exclude: Preference without a joint informational account. Boundary: Distinct from C02, which does not require comparison with motion. Note: Supports configuration-level claims only.","Motion+Muscle","Both"
"C04","Task contingency","Stroke-contingent feedback value","Reports different usefulness, interpretability, or attentional priorities for forehand and backhand.","Include: Feedback value explicitly changes by stroke. Exclude: A stroke is named only as context. Boundary: C05 codes familiarity as one possible explanation. Note: Preserve divergent directions; do not impose one favored stroke.","Both AR configurations","Unspecified"
"C05","Task contingency","Familiarity-contingent feedback value","Attributes feedback value or difficulty partly to prior familiarity, forgotten technique, or stroke novelty.","Include: Prior experience or novelty is used to explain value/difficulty. Exclude: Biomechanical-demand explanation without familiarity. Boundary: Related to C04 but not equivalent to it. Note: Familiarity is an account, not a measured moderator.","General/Unspecified","Unspecified"
"C06","Representation and delivery","Inspectability of the time-persistent waveform","Values a plotted time trace because it remains available or makes similarity/difference more legible than rapidly unfolding motion.","Include: The account contrasts waveform persistence/legibility with unfolding motion. Exclude: Muscle-feedback benefit without representation-format reasoning. Boundary: C07 separates real-time bars from replay; C14 captures reward. Note: Representation format is the operative distinction.","Motion+Muscle","Replay"
"C07","Representation and delivery","Real-time HUD versus replay use","Distinguishes monitoring during the stroke from post-stroke review.","Include: The account explicitly describes different use or non-use of real-time and replay displays. Exclude: Replay-control issues without a real-time contrast. Boundary: C06 is graph persistence; C13 is replay frequency. Note: Assign delivery phase only when it is recoverable from the account.","Motion+Muscle","Both"
"C08","Sensemaking","Noticing a discrepancy from the expert reference","Detects or tracks similarity/difference between user and expert motion or muscle representations.","Include: A displayed match/mismatch is noticed or monitored. Exclude: A difference is supplied only by the interviewer. Boundary: C09 adds uncertainty; C10 adds a proposed action. Note: Noticing is not understanding.","Both AR configurations","Replay"
"C09","Sensemaking","Causal or action ambiguity of a discrepancy","Notices a mismatch or similarity but cannot infer its cause, correctness, attainability, or a specific corrective action.","Include: The account lacks a clear explanation or actionable implication. Exclude: A concrete candidate action resolves the ambiguity in that segment. Boundary: C20 requires an explicit missing-guidance need. Note: Detection and actionability must remain separate.","Both AR configurations","Replay"
"C10","Sensemaking","Adjustment-hypothesis formation","Converts feedback into a candidate next action involving posture, force, relaxation, grip, timing, or attention.","Include: A specific next-step adjustment is proposed. Exclude: Vague helpfulness or an interviewer-supplied suggestion. Boundary: C11 captures perceived consequence checking. Note: A candidate action is not assumed correct or effective.","Both AR configurations","Both"
